gamma,steps,certified_seed_count,median_log10_l2,p10_log10_l2,p90_log10_l2,fraction_below_1e6,fraction_below_1e4
1.0,40,12,-12.522836201712337,-13.110209809725324,-11.811821645260203,1.0,1.0
1.0,80,12,-10.670071691694744,-11.398339792538229,-9.54456887276783,1.0,1.0
1.0,100,12,-10.114909650008475,-10.639232388347352,-9.101348998083997,1.0,1.0
1.0,120,12,-9.16727519725978,-10.158592249216083,-7.114960424681776,1.0,1.0
1.0,160,12,-7.312500135159895,-8.586128003734322,-5.4865357035377125,0.75,1.0
1.0,200,12,-5.52192488234313,-8.062207712293233,-4.663709080717224,0.4166666666666667,0.9166666666666666
0.982,40,11,-12.451599407974701,-12.920773820522616,-11.703659195055685,1.0,1.0
0.982,80,11,-9.80314980492165,-10.593766894768518,-7.880037935278775,1.0,1.0
0.982,100,11,-8.682643878179219,-9.316630215900778,-6.86416625502596,1.0,1.0
0.982,120,11,-7.78664133919817,-8.17116164467728,-6.00874576022322,0.9090909090909091,1.0
0.982,160,11,-5.794664529384462,-6.51692885951095,-3.1918037980050644,0.45454545454545453,0.7272727272727273
0.982,200,8,-2.5339316012801696,-4.605966484189616,-1.039956627193316,0.0,0.25
