layer,anchors,residual_variance,L_data,L_phrase,L_total,R
1,6,5.913847667889417,106.53261204117062,11.229419688230417,117.76203172940104,0.9988965888212931
2,10,8.46857355306905,114.82096244418321,17.297158093186486,132.1181205373697,0.9977916491615483
3,15,5.788354024895319,106.03750931907099,28.0,134.03750931907098,0.9933321565782792
4,22,4.351973103255887,99.45377296972468,40.71205760451312,140.16583057423782,0.9986506265630388
5,31,1.5858768392167248,76.1515504737938,70.0,146.1515504737938,0.9995887215634958
6,45,3.18680938279331,92.26086236907516,71.80630542874117,164.06716779781632,0.9995648225127864
7,58,1.0595345261845561,66.84194833216077,76.47435964170394,143.3163079738647,0.9996209595480892
8,71,0.8234962984260588,61.024403849589696,86.37895002019238,147.40335386978208,0.9996957063778247
9,85,2.294165646908726,84.67457173091736,96.39397132053146,181.06854305144884,0.9994809461537725
10,100,0.14196061641363283,20.444061110249645,99.87317224127692,120.31723335152657,0.9980711712724307
11,115,0.21529133883619872,30.05685370512489,102.86971492691357,132.92656863203845,0.9574133549662732
12,130,0.14283765011251104,20.586230084320526,91.43449901998684,112.02072910430738,0.9995785149666305
13,143,0.10184300353567464,12.777759170524412,114.718800023077,127.4965591936014,0.9995619011576415
14,159,0.08476677545897437,8.541342214104244,117.1508495181978,125.69219173230205,0.9996831334139252
15,175,0.0641714662911811,2.116270866654922,111.89147427955946,114.00774514621438,0.9998745236050679
16,190,0.08300888891550603,8.057613035662884,106.08400359250048,114.14161662816336,0.9997889573164744
17,204,2.5825976137701483,87.4082247944208,115.1922014925817,202.6004262870025,0.9996829956909281
18,219,0.11342685962068944,15.264406210887424,116.7203957028699,131.9848019137573,0.998684678541272
19,234,0.07966902779791407,7.109663206208645,110.27123725191,117.38090045811865,0.9997736101076056
20,248,0.06974693937111365,4.039438251264984,127.36003091308929,131.3994691643543,0.9996813074190589
21,264,0.17766062947026667,25.62219333523625,128.797576791209,154.41977012644526,0.9996070948554294
22,280,0.04787212257879944,-4.647667919722917,130.15082112353483,125.5031532038119,0.99975743942913
23,296,0.041192481455513665,-8.11654371079426,131.42910593281226,123.312562222018,0.9995074471390588
24,312,0.06765816277204943,3.3375837199150022,124.35028270398928,127.68786642390428,0.9998227781158343
25,327,0.03269683676150881,-13.448223195544486,133.72083207388934,120.27260887834485,0.9998043254714626
