channel_count,channels,orientation_free_auc
1,0,0.5265277777777778
1,1,0.5145138888888889
1,2,0.5009722222222222
1,3,0.5288888888888889
1,4,0.536875
2,0-1,0.951875
2,0-2,0.9754166666666667
2,0-3,0.934375
2,0-4,0.9684027777777777
2,1-2,0.9465972222222222
2,1-3,0.9340277777777778
2,1-4,0.9414583333333333
2,2-3,0.9609722222222222
2,2-4,0.9570833333333333
2,3-4,0.9285416666666667
3,0-1-2,0.991875
3,0-1-3,0.9827083333333333
3,0-1-4,0.9867361111111111
3,0-2-3,0.99625
3,0-2-4,0.9953472222222223
3,0-3-4,0.9895138888888889
3,1-2-3,0.9946527777777778
3,1-2-4,0.99375
3,1-3-4,0.9870138888888889
3,2-3-4,0.9972222222222222
4,0-1-2-3,0.9967361111111112
4,0-1-2-4,0.9984722222222222
4,0-1-3-4,0.9988194444444445
4,0-2-3-4,0.9993055555555556
4,1-2-3-4,0.9973611111111111
5,0-1-2-3-4,0.9975694444444444
